Most Common Cancers (Incidence),5 YR Age Band,Metrics,Incidence,Incidence Crude Rate,Population Count
Brain and Other Nervous System,00-04 years,,13,3.8,344980
,05-09 years,,10,2.5,396738
,10-14 years,,11,2.6,426032
,15-19 years,,10,2.4,425339
,20-24 years,,7,1.6,430082
,25-29 years,,16,3.8,417554
,30-34 years,,16,3.6,450120
,35-39 years,,18,3.7,488773
,40-44 years,,31,5.7,543009
,45-49 years,,35,7.3,479033
,50-54 years,,41,10.1,407206
,55-59 years,,49,13.7,356462
,60-64 years,,45,16.9,265576
,65-69 years,,47,21.8,215345
,70-74 years,,47,25.1,187575
,75-79 years,,45,31.6,142630
,80-84 years,,27,29.6,91173
,85-89 years,,11,30.1,36594
,90+ years,,1,6.6,15235
,Total,,480,7.8,6119456
Breast,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,0,0,430082
,25-29 years,,0,0,417554
,30-34 years,,0,0,450120
,35-39 years,,2,0.4,488773
,40-44 years,,2,0.4,543009
,45-49 years,,3,0.6,479033
,50-54 years,,5,1.2,407206
,55-59 years,,6,1.7,356462
,60-64 years,,9,3.4,265576
,65-69 years,,8,3.7,215345
,70-74 years,,16,8.5,187575
,75-79 years,,13,9.1,142630
,80-84 years,,8,8.8,91173
,85-89 years,,3,8.2,36594
,90+ years,,0,0,15235
,Total,,75,1.2,6119456
Cervix Uteri,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,0,0,430082
,25-29 years,,0,0,417554
,30-34 years,,0,0,450120
,35-39 years,,0,0,488773
,40-44 years,,0,0,543009
,45-49 years,,0,0,479033
,50-54 years,,0,0,407206
,55-59 years,,0,0,356462
,60-64 years,,0,0,265576
,65-69 years,,0,0,215345
,70-74 years,,0,0,187575
,75-79 years,,0,0,142630
,80-84 years,,0,0,91173
,85-89 years,,0,0,36594
,90+ years,,0,0,15235
,Total,,0,0,6119456
Colon and Rectum,00-04 years,,1,0.3,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,2,0.5,425339
,20-24 years,,7,1.6,430082
,25-29 years,,7,1.7,417554
,30-34 years,,21,4.7,450120
,35-39 years,,42,8.6,488773
,40-44 years,,68,12.5,543009
,45-49 years,,143,29.9,479033
,50-54 years,,256,62.9,407206
,55-59 years,,389,109.1,356462
,60-64 years,,465,175.1,265576
,65-69 years,,567,263.3,215345
,70-74 years,,689,367.3,187575
,75-79 years,,580,406.6,142630
,80-84 years,,426,467.2,91173
,85-89 years,,152,415.4,36594
,90+ years,,63,413.5,15235
,Total,,"3,878",63.4,6119456
"Corpus and Uterus, NOS",00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,0,0,430082
,25-29 years,,0,0,417554
,30-34 years,,0,0,450120
,35-39 years,,0,0,488773
,40-44 years,,0,0,543009
,45-49 years,,0,0,479033
,50-54 years,,0,0,407206
,55-59 years,,0,0,356462
,60-64 years,,0,0,265576
,65-69 years,,0,0,215345
,70-74 years,,0,0,187575
,75-79 years,,0,0,142630
,80-84 years,,0,0,91173
,85-89 years,,0,0,36594
,90+ years,,0,0,15235
,Total,,0,0,6119456
Esophagus,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,1,0.2,430082
,25-29 years,,1,0.2,417554
,30-34 years,,0,0,450120
,35-39 years,,4,0.8,488773
,40-44 years,,8,1.5,543009
,45-49 years,,13,2.7,479033
,50-54 years,,17,4.2,407206
,55-59 years,,48,13.5,356462
,60-64 years,,62,23.3,265576
,65-69 years,,64,29.7,215345
,70-74 years,,73,38.9,187575
,75-79 years,,57,40,142630
,80-84 years,,47,51.6,91173
,85-89 years,,18,49.2,36594
,90+ years,,5,32.8,15235
,Total,,418,6.8,6119456
Hodgkin's Lymphoma,00-04 years,,0,0,344980
,05-09 years,,2,0.5,396738
,10-14 years,,7,1.6,426032
,15-19 years,,19,4.5,425339
,20-24 years,,17,4,430082
,25-29 years,,17,4.1,417554
