Geo,GeoName,Total_population_by_sex_and_age_,Male__total,Male__35_to_39_years,Male__40_to_44_years,Male__45_to_49_years,Male__50_to_54_years,Male__55_to_59_years,Male__60_to_64_years,Male__65_to_69_years,Male__35_69_years,Female__total,Female__35_to_39_years,Female__40_to_44_years,Female__45_to_49_years,Female__50_to_54_years,Female__55_to_59_years,Female__60_to_64_years,Female__65_to_69_years,Female__35_69_years,Total__35_69_years,geonew,nscode,loc
3520005,Toronto [C],2481495,1196560,113140,99940,85220,75620,55795,47580,44635,521930,1284935,112900,103880,93140,83490,62180,55525,51800,562915,1084845,3520005,20,South
3506008,Ottawa [C],774075,377385,34195,32650,29075,26885,19230,14405,12090,168530,396690,34730,34645,30960,28000,20140,15450,13460,177385,345915,3506008,06,South
3521005,Mississauga [C],612925,302190,28145,27050,23395,20820,14750,11205,8660,134025,310730,29360,28215,24545,21200,14800,11315,9270,138705,272730,3521005,21,South
3525005,Hamilton [C],490265,239525,20225,20275,17625,15950,12235,10075,9100,105485,250745,20445,20440,18545,16525,12470,10695,10265,109385,214870,3525005,25,South
3539036,London [C],336540,161855,13725,13110,11860,10765,7900,6205,5475,69040,174685,14255,14280,13155,11525,8625,6940,6485,75265,144305,3539036,39,South
3521010,Brampton [C],325430,161590,15400,13540,11160,10385,7900,5590,3970,67945,163840,15335,13480,11665,10625,7620,5610,4185,68520,136465,3521010,21,South
3519036,Markham [T],208615,102175,7490,8695,8885,8610,6000,4350,3290,47320,106440,8700,9785,9995,8785,5760,4205,3395,50625,97945,3519036,19,South
3537039,Windsor [C],208405,101925,8815,7925,6935,6285,4815,3990,3625,42390,106475,8355,7850,7195,6500,5010,4490,4230,43630,86020,3537039,37,South
3530013,Kitchener [C],190400,93725,8550,7865,6785,5935,4315,3465,2775,39690,96675,8415,7930,7040,6090,4600,3435,3270,40780,80470,3530013,30,South
3519028,Vaughan [C],182025,90415,7890,7385,6440,6390,4210,3670,2915,38900,91610,8335,8245,7070,6275,3970,3460,2660,40015,78915,3519028,19,South
3553005,Greater Sudbury [C],155220,75340,6195,6280,5835,5915,4430,3540,3090,35285,79880,6650,6880,6380,5700,4500,3705,3515,37330,72615,3553005,53,South
3524002,Burlington [C],150835,72920,6200,6150,5235,5125,4225,3325,2955,33215,77910,6660,6470,5820,5605,4540,3615,3360,36070,69285,3524002,24,South
3524001,Oakville [T],144740,70515,6150,6740,5650,4850,3885,2760,2370,32405,74220,6865,7145,6105,5110,3885,2855,2575,34540,66945,3524001,24,South
3518013,Oshawa [C],139050,67920,6255,6010,4995,4470,3330,2715,2275,30050,71135,6295,5945,5210,4680,3530,2835,2600,31095,61145,3518013,18,South
3519038,Richmond Hill [T],132030,64595,5820,5950,5225,4910,3020,2370,1985,29280,67440,6500,6820,5690,4780,3000,2375,2130,31295,60575,3519038,19,South
3526053,St. Catharines [C],129170,61805,4680,4740,4480,4325,3610,3055,2655,27545,67360,5065,4915,4785,4695,3900,3410,3240,30010,57555,3526053,26,South
3510010,Kingston [C],114195,55590,4655,4370,4015,3665,2890,2345,2145,24085,58605,4505,4720,4250,3935,3085,2495,2455,25445,49530,3510010,10,South
3558004,Thunder Bay [C],109015,53060,4175,4515,4315,3865,2775,2325,2070,24040,55955,4285,4795,4270,3795,2810,2410,2330,24695,48735,3558004,58,North
3536020,Chatham-Kent [C],107340,52265,4125,4495,3990,3670,2800,2390,2065,23535,55075,4320,4515,3925,3655,2930,2540,2275,24160,47695,3536020,36,South
3530010,Cambridge [C],110370,54275,5025,4640,4020,3545,2470,2040,1635,23375,56095,5035,4710,3955,3485,2525,1955,1835,23500,46875,3530010,30,South
3523008,Guelph [C],106170,51960,4735,4400,3710,3135,2265,1700,1580,21525,54210,4600,4485,3845,3310,2460,1990,1830,22520,44045,3523008,23,South
3543042,Barrie [C],103710,50555,5070,4470,3460,2810,1985,1475,1380,20650,53155,5200,4540,3495,2910,2110,1735,1595,21585,42235,3543042,43,South
3518001,Pickering [C],87140,42645,3960,3965,3595,3355,2150,1390,1075,19490,44495,4420,4385,3870,3255,2030,1445,1175,20580,40070,3518001,18,South
3518009,Whitby [T],87410,42980,4210,4135,3490,2990,1955,1270,1145,19195,44435,4570,4365,3555,2950,1810,1350,1225,19825,39020,3518009,18,South
3529006,Brantford [C],86420,41625,3385,3380,3140,2920,2090,1725,1480,18120,44790,3565,3515,3395,2965,2180,1825,1765,19210,37330,3529006,29,South
3530016,Waterloo [C],86545,42405,3565,3490,3065,2815,2035,1510,1265,17745,44140,3755,3700,3345,2925,2060,1490,1430,18705,36450,3530016,30,South
3557061,Sault Ste. Marie [C],74570,35700,2575,3050,2945,2720,2110,1850,1720,16970,38865,3015,3440,3090,2770,2320,1980,1905,18520,35490,3557061,57,North
